order_id,platform,sku_code,product_name,category,order_value,shipping_fee,seller_voucher,platform_fee,order_status,transaction_date,review_score,review_text
ORD-20260041,TikTok Shop,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,262690,18339,15000,10507,COMPLETED,2026-05-22 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260042,Shopee,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,683568,31918,5000,27342,CANCELLED,2026-05-19 00:00:00,,
ORD-20260043,Lazada,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,682411,12387,25000,27296,COMPLETED,2026-06-16 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260044,Lazada,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,314936,28425,10000,12597,COMPLETED,2026-01-10 00:00:00,4,"Barang original 100%, mantap recommended seller!"
ORD-20260045,Tokopedia,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,47531,17808,25000,1901,COMPLETED,2026-05-23 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260046,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,693774,14967,10000,27750,COMPLETED,2026-07-27 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260047,Lazada,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,314659,14800,15000,12586,COMPLETED,2026-02-11 00:00:00,4,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260048,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,334381,33902,15000,13375,COMPLETED,2026-05-15 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260049,Tokopedia,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,747989,31614,5000,29919,COMPLETED,2026-01-14 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260050,Shopee,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,303101,13744,25000,12124,CANCELLED,2026-04-17 00:00:00,,
ORD-20260051,Lazada,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,595992,16124,15000,23839,COMPLETED,2026-04-21 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260052,Lazada,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,469981,24834,15000,18799,RETURNED,2026-04-24 00:00:00,2,"Barang mati total saat diterima, respon garansi lambat!"
ORD-20260053,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,196286,11034,25000,7851,CANCELLED,2026-06-16 00:00:00,,
ORD-20260054,Tokopedia,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,711347,29962,0,28453,CANCELLED,2026-01-30 00:00:00,,
ORD-20260055,TikTok Shop,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,328823,10171,15000,13152,COMPLETED,2026-04-08 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260056,Shopee,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,675970,26918,10000,27038,COMPLETED,2026-06-25 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260057,Shopee,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,545614,10062,5000,21824,RETURNED,2026-07-28 00:00:00,2,"Ukuran baju terlalu kecil dan jahitan tidak rapi, kecewa."
ORD-20260058,Tokopedia,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,328659,22642,0,13146,CANCELLED,2026-04-15 00:00:00,,
ORD-20260059,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,585689,30463,5000,23427,COMPLETED,2026-06-29 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260060,Tokopedia,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,184124,31264,5000,7364,COMPLETED,2026-04-04 00:00:00,4,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260061,Shopee,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,63263,23434,10000,2530,COMPLETED,2026-06-08 00:00:00,4,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260062,Tokopedia,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,410865,18063,15000,16434,COMPLETED,2026-01-11 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260063,Shopee,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,66310,13253,5000,2652,COMPLETED,2026-01-26 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260064,Shopee,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,456609,17870,5000,18264,RETURNED,2026-03-07 00:00:00,1,"Barang mati total saat diterima, respon garansi lambat!"
ORD-20260065,Shopee,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,508884,34115,10000,20355,RETURNED,2026-07-17 00:00:00,1,"Pengiriman lama sekali, kemasan penyok dan barang agak lecet."
ORD-20260066,TikTok Shop,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,332643,20733,10000,13305,COMPLETED,2026-08-29 00:00:00,4,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260067,Lazada,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,102499,18782,10000,4099,COMPLETED,2026-06-22 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260068,Tokopedia,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,575619,27984,5000,23024,COMPLETED,2026-03-19 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260069,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,128907,26366,25000,5156,COMPLETED,2026-03-01 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260070,Lazada,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,458067,10742,5000,18322,COMPLETED,2026-01-16 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260071,Lazada,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,266339,29827,0,10653,RETURNED,2026-07-12 00:00:00,1,"Pengiriman lama sekali, kemasan penyok dan barang agak lecet."
ORD-20260072,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,342590,15793,5000,13703,COMPLETED,2026-03-26 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260073,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,697036,10481,15000,27881,COMPLETED,2026-01-29 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260074,Tokopedia,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,319690,10721,15000,12787,COMPLETED,2026-08-05 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260075,Shopee,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,739381,18430,15000,29575,COMPLETED,2026-04-22 00:00:00,4,"Barang original 100%, mantap recommended seller!"
ORD-20260076,Shopee,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,129633,28600,10000,5185,COMPLETED,2026-01-09 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260077,TikTok Shop,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,505348,15751,10000,20213,RETURNED,2026-06-04 00:00:00,2,"Barang mati total saat diterima, respon garansi lambat!"
ORD-20260078,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,422947,16145,15000,16917,RETURNED,2026-04-28 00:00:00,2,"Pengiriman lama sekali, kemasan penyok dan barang agak lecet."
ORD-20260079,Lazada,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,558748,32429,25000,22349,COMPLETED,2026-06-05 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260080,Tokopedia,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,108773,19243,15000,4350,COMPLETED,2026-04-26 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260081,TikTok Shop,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,257941,13795,0,10317,COMPLETED,2026-08-13 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260082,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,580330,33431,0,23213,COMPLETED,2026-09-06 00:00:00,4,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260083,Lazada,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,291340,16460,10000,11653,CANCELLED,2026-03-19 00:00:00,,
ORD-20260084,TikTok Shop,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,157001,19461,25000,6280,COMPLETED,2026-05-09 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260085,Tokopedia,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,327981,22425,15000,13119,RETURNED,2026-08-23 00:00:00,1,"Ukuran baju terlalu kecil dan jahitan tidak rapi, kecewa."
ORD-20260086,TikTok Shop,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,441540,18368,10000,17661,CANCELLED,2026-08-12 00:00:00,,
ORD-20260087,TikTok Shop,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,487681,21816,10000,19507,COMPLETED,2026-06-19 00:00:00,4,"Barang original 100%, mantap recommended seller!"
ORD-20260088,TikTok Shop,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,426058,10635,5000,17042,COMPLETED,2026-07-26 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260089,Lazada,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,85628,28731,10000,3425,CANCELLED,2026-05-16 00:00:00,,
ORD-20260090,Shopee,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,355883,34754,10000,14235,COMPLETED,2026-04-30 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260091,Tokopedia,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,104648,26291,0,4185,COMPLETED,2026-03-20 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260092,TikTok Shop,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,424775,19809,5000,16991,RETURNED,2026-07-19 00:00:00,1,"Ukuran baju terlalu kecil dan jahitan tidak rapi, kecewa."
ORD-20260093,TikTok Shop,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,650218,16334,15000,26008,CANCELLED,2026-04-25 00:00:00,,
ORD-20260094,Shopee,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,104536,26837,5000,4181,RETURNED,2026-03-24 00:00:00,2,"Bahan tipis tidak sesuai deskripsi produk, ajukan retur."
ORD-20260095,Shopee,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,234738,24369,10000,9389,CANCELLED,2026-01-25 00:00:00,,
ORD-20260096,TikTok Shop,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,613742,34721,25000,24549,COMPLETED,2026-08-07 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260097,Tokopedia,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,107901,11919,15000,4316,COMPLETED,2026-08-30 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260098,Shopee,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,49734,17347,25000,1989,COMPLETED,2026-08-01 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260099,Lazada,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,90382,16373,0,3615,CANCELLED,2026-06-27 00:00:00,,
ORD-20260100,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,279669,26667,25000,11186,COMPLETED,2026-04-20 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260101,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,585117,24768,5000,23404,CANCELLED,2026-05-25 00:00:00,,
ORD-20260102,Shopee,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,450913,17763,15000,18036,COMPLETED,2026-02-02 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260103,Tokopedia,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,102405,34868,25000,4096,COMPLETED,2026-08-20 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260104,Shopee,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,556446,10847,25000,22257,COMPLETED,2026-06-18 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260105,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,123835,12073,25000,4953,COMPLETED,2026-04-07 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260106,TikTok Shop,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,436810,34846,25000,17472,COMPLETED,2026-06-20 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260107,Tokopedia,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,105241,10492,5000,4209,COMPLETED,2026-02-18 00:00:00,4,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260108,TikTok Shop,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,69670,34139,0,2786,RETURNED,2026-07-28 00:00:00,1,"Pengiriman lama sekali, kemasan penyok dan barang agak lecet."
ORD-20260109,Tokopedia,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,664680,10317,0,26587,COMPLETED,2026-04-22 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260110,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,381214,10684,15000,15248,COMPLETED,2026-08-12 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260111,Lazada,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,415179,16856,0,16607,RETURNED,2026-03-26 00:00:00,2,"Pengiriman lama sekali, kemasan penyok dan barang agak lecet."
ORD-20260112,Tokopedia,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,339722,19606,15000,13588,COMPLETED,2026-04-03 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260113,TikTok Shop,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,434987,15611,0,17399,COMPLETED,2026-02-01 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260114,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,611339,26544,5000,24453,RETURNED,2026-05-15 00:00:00,1,"Ukuran baju terlalu kecil dan jahitan tidak rapi, kecewa."
ORD-20260115,TikTok Shop,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,318799,32616,0,12751,COMPLETED,2026-07-28 00:00:00,4,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260116,TikTok Shop,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,747995,25737,15000,29919,COMPLETED,2026-03-28 00:00:00,4,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260117,Lazada,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,218197,16768,10000,8727,COMPLETED,2026-01-10 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260118,Lazada,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,398655,20481,5000,15946,COMPLETED,2026-06-30 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260119,Tokopedia,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,58201,24507,25000,2328,COMPLETED,2026-01-31 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260120,Lazada,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,317819,30458,5000,12712,COMPLETED,2026-08-16 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260121,TikTok Shop,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,474730,17722,15000,18989,COMPLETED,2026-05-31 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260122,Shopee,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,144533,33779,25000,5781,COMPLETED,2026-06-02 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260123,Tokopedia,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,167023,34874,25000,6680,COMPLETED,2026-07-15 00:00:00,4,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260124,Tokopedia,SKU-PRM-001,Wajan Anti Lengket Granite 24cm,Perlengkapan Rumah,310873,18143,5000,12434,COMPLETED,2026-01-25 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260125,Shopee,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,645986,24485,5000,25839,COMPLETED,2026-01-13 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260126,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,106346,28940,10000,4253,CANCELLED,2026-07-19 00:00:00,,
ORD-20260127,Tokopedia,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,475913,20471,5000,19036,COMPLETED,2026-04-11 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260128,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,118940,24856,5000,4757,COMPLETED,2026-01-08 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260129,Shopee,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,469341,34867,5000,18773,CANCELLED,2026-05-06 00:00:00,,
ORD-20260130,Lazada,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,357163,29678,10000,14286,CANCELLED,2026-01-11 00:00:00,,
ORD-20260131,TikTok Shop,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,158014,11101,15000,6320,RETURNED,2026-07-15 00:00:00,1,"Ukuran baju terlalu kecil dan jahitan tidak rapi, kecewa."
